;Paper;Name;Latitude;Longitude;Mean basin elevation (m);Basin Relief (m);Basin Area (km2);Mean Latutide (dec. Deg.);Mean Longitude (dec. Deg);Effective basin elevation (m);Mean Basin slope;Rock type;Mean annual precipitation (mm/yr);Mean annual Temperature (C);% Vegetation;Seismicity;Seismic regime;Climate zone main;Cronus erosion rate (m/My);Cronus erosion rate error (m/My)
1;Abbuhl et al., 2010;Piu11;-4,918;-79,894;3076;141;1,14;-4,93;-4,918;3076.0;7,2;Mixed;735.0;12.0;5.0;2,916137;Yes;Arid;6,95;0,72
2;Abbuhl et al., 2010;Piu10;-4,945;-79,996;2080;2286;93,88;-4,907;-4,945;2160.0;20,1;Mixed;815.0;17.0;9.0;2,916137;Yes;Arid;128,23;13,19
3;Abbuhl et al., 2010;Piu9;-5,018;-80,054;1671;3078;153,99;-4,938;-5,018;1806.0;20,8;Mixed;716.0;18.0;9.0;2,904053;Yes;Arid;126,29;13,51
4;Abbuhl et al., 2010;Piu8;-5,086;-80,132;1438;3250;186,69;-4,956;-5,086;1630.0;19,2;Mixed;639.0;19.0;9.0;2,904053;Yes;Arid;122,11;13,64
5;Abbuhl et al., 2010;Piu6;-5,104;-80,158;1394;3264;192,97;-4,961;-5,104;1598.0;18,6;Mixed;626.0;19.0;9.0;2,904053;Yes;Arid;89,53;7,33
6;Abbuhl et al., 2010;2_6;-5,029;-79,833;2507;1754;12,83;-5,013;-5,029;2553.0;26,1;Mixed;800.0;15.0;13.0;2,759622;Yes;Arid;29,84;4,31
7;Abbuhl et al., 2010;2_8;-5,047;-79,849;2189;2031;27,17;-5,03;-5,047;2242.0;22,3;Mixed;792.0;16.0;12.0;2,759622;Yes;Arid;162,25;30,06
8;Abbuhl et al., 2010;2_10;-5,061;-79,875;2005;2358;51,16;-5,032;-5,061;2067.0;21;Mixed;789.0;17.0;10.0;2,825795;Yes;Arid;246,47;33,57
9;Abbuhl et al., 2010;2_12;-5,114;-79,895;1824;2871;136,46;-5,04;-5,114;1912.0;21,1;Mixed;763.0;18.0;13.0;2,825795;Yes;Arid;118,49;22,53
10;Abbuhl et al., 2010;Piu3;-5,138;-79,911;1750;3088;147,54;-5,046;-5,138;1851.0;21,4;Mixed;743.0;18.0;13.0;2,825795;Yes;Arid;149,27;14,2
